x,y,z
2.000000000000000000e+02,2.000000000000000000e+02,8.243365287780761719e-01
2.620000000000000000e+02,2.000000000000000000e+02,8.975911140441894531e-01
3.240000000000000000e+02,2.000000000000000000e+02,9.102908372879028320e-01
3.860000000000000000e+02,2.000000000000000000e+02,9.061367511749267578e-01
4.480000000000000000e+02,2.000000000000000000e+02,8.953304886817932129e-01
5.100000000000000000e+02,2.000000000000000000e+02,8.911095261573791504e-01
5.720000000000000000e+02,2.000000000000000000e+02,8.840245008468627930e-01
6.340000000000000000e+02,2.000000000000000000e+02,8.663545846939086914e-01
6.960000000000000000e+02,2.000000000000000000e+02,8.747828602790832520e-01
7.580000000000000000e+02,2.000000000000000000e+02,8.430980443954467773e-01
8.200000000000000000e+02,2.000000000000000000e+02,8.362460136413574219e-01
8.820000000000000000e+02,2.000000000000000000e+02,8.259648680686950684e-01
9.440000000000000000e+02,2.000000000000000000e+02,8.268105387687683105e-01
1.006000000000000000e+03,2.000000000000000000e+02,8.042747974395751953e-01
1.068000000000000000e+03,2.000000000000000000e+02,8.067924380302429199e-01
2.000000000000000000e+02,2.160000000000000000e+02,8.833130598068237305e-01
2.620000000000000000e+02,2.160000000000000000e+02,8.947535157203674316e-01
3.240000000000000000e+02,2.160000000000000000e+02,9.121527075767517090e-01
3.860000000000000000e+02,2.160000000000000000e+02,9.004210829734802246e-01
4.480000000000000000e+02,2.160000000000000000e+02,9.004598259925842285e-01
5.100000000000000000e+02,2.160000000000000000e+02,8.727200031280517578e-01
5.720000000000000000e+02,2.160000000000000000e+02,8.746331930160522461e-01
6.340000000000000000e+02,2.160000000000000000e+02,8.616804480552673340e-01
6.960000000000000000e+02,2.160000000000000000e+02,8.548682928085327148e-01
7.580000000000000000e+02,2.160000000000000000e+02,8.442525267601013184e-01
8.200000000000000000e+02,2.160000000000000000e+02,8.381564617156982422e-01
8.820000000000000000e+02,2.160000000000000000e+02,8.153825402259826660e-01
9.440000000000000000e+02,2.160000000000000000e+02,8.139429688453674316e-01
1.006000000000000000e+03,2.160000000000000000e+02,8.174838423728942871e-01
1.068000000000000000e+03,2.160000000000000000e+02,8.188811540603637695e-01
2.000000000000000000e+02,2.320000000000000000e+02,8.934386968612670898e-01
2.620000000000000000e+02,2.320000000000000000e+02,8.862650990486145020e-01
3.240000000000000000e+02,2.320000000000000000e+02,8.946321606636047363e-01
3.860000000000000000e+02,2.320000000000000000e+02,9.006823897361755371e-01
4.480000000000000000e+02,2.320000000000000000e+02,9.047322273254394531e-01
5.100000000000000000e+02,2.320000000000000000e+02,8.809686899185180664e-01
5.720000000000000000e+02,2.320000000000000000e+02,8.711885809898376465e-01
6.340000000000000000e+02,2.320000000000000000e+02,8.740270733833312988e-01
6.960000000000000000e+02,2.320000000000000000e+02,8.621433973312377930e-01
7.580000000000000000e+02,2.320000000000000000e+02,8.412550091743469238e-01
8.200000000000000000e+02,2.320000000000000000e+02,8.128400444984436035e-01
8.820000000000000000e+02,2.320000000000000000e+02,8.076610565185546875e-01
9.440000000000000000e+02,2.320000000000000000e+02,8.105298876762390137e-01
1.006000000000000000e+03,2.320000000000000000e+02,8.023631572723388672e-01
1.068000000000000000e+03,2.320000000000000000e+02,7.702529430389404297e-01
2.000000000000000000e+02,2.480000000000000000e+02,8.772130012512207031e-01
2.620000000000000000e+02,2.480000000000000000e+02,8.042092323303222656e-01
3.240000000000000000e+02,2.480000000000000000e+02,8.929784297943115234e-01
3.860000000000000000e+02,2.480000000000000000e+02,9.061778783798217773e-01
4.480000000000000000e+02,2.480000000000000000e+02,8.897411823272705078e-01
5.100000000000000000e+02,2.480000000000000000e+02,8.707450628280639648e-01
5.720000000000000000e+02,2.480000000000000000e+02,8.701773881912231445e-01
6.340000000000000000e+02,2.480000000000000000e+02,8.636433482170104980e-01
6.960000000000000000e+02,2.480000000000000000e+02,8.574381470680236816e-01
7.580000000000000000e+02,2.480000000000000000e+02,8.476935029029846191e-01
8.200000000000000000e+02,2.480000000000000000e+02,8.272230625152587891e-01
8.820000000000000000e+02,2.480000000000000000e+02,8.503684997558593750e-01
9.440000000000000000e+02,2.480000000000000000e+02,7.982384562492370605e-01
1.006000000000000000e+03,2.480000000000000000e+02,7.936949133872985840e-01
2.000000000000000000e+02,2.640000000000000000e+02,8.732078075408935547e-01
2.620000000000000000e+02,2.640000000000000000e+02,8.940909504890441895e-01
